Fon,French
e nɔ ɖo to mɛ ɖe lɛ gbeɖe ă,il n'écoute jamais les autres
e gú mɛ hú gbo'jɔ́,cela est inutile à quelqu'un plus que le commerce des tomates
E nɔ kan wezun tɔn lε azɔn we do vodungbegblamε ɔ mε.,Elle fait ses courses deux fois par semaine 
nyɛ wɛ̀ é kpɛnzɔ̀n,c'est sur moi qu'il s'appuie
A tuwun ɖɔ wamamɔnɔ wε nyi mi,Tu sais que nous sommes pauvres
E ɖo xo ɖɔ nu we wε,On te parle
wà dó gan mɛ̀,viens à l'heure
un ɖo xɛsi ɖi wɛ,j'ai peur
Azɔmɛvi ɔ ɖo ɖixo ɔ sunsun wɛ,L’élève efface la tache.
étɛ́ ká wɛ̀,qu'est
"Mì ná ɖɔ́ ɔ́, gbɛtɔ́ ká tuùn nù é nɔ́ jɛ́ ɖò kú gúdó ɔ́ à ?","En définitive, l’homme sait-il ce qui se passe exactement après la mort ?"
Mi ná alì,Ecartez-vous.
kpɔnnɔ̀ - kpɔ́nnɔ́kpɔ́nnɔ́,replet
e kan byɔ ahwlikpɔnuwa ɖɔ aximɛ wɛ xwe aji e ɖɔ,nu kan byɔ ɔ xo wɛ nɔ gɔ nu we à
Asi ce na ji xoxo,Ma femme enfantera des jumeaux.
E ɖo te,Il se tenait debout.
Kanlin ɖido gleta,Le troupeau regagne la ferme.
Mi gb'adɔ ɖɔ mi na yi nuɖiɖi mitɔn sin ajɔ,"Ayez confiance, vous aurez la récompense de votre foi"
awé mítɔn lɛ,nos potes
é vɛ numi tawun,j'en suis vraiment choqué
É mlɛ́ dó mì káká,Il est tout le temps avec moi.
Amɔ nu yaya wɛ,Mais en vain.
"Mɛ bi sese… Mɛɛ to ɔ mɛ ɔ, e kwiji.",Tout le monde… Mais le pays est sale.
E dan hun gbɔn fi,II a erré par ici
un mɔ ɛ̀ sɛ́ dó,je l'ai vu là
Bɔ azin ɖevo elɔ fitε e gosin ?,Et cet autre oeuf d'où vient il ? 
E ci hun ɖɔ ji na ja hwemε,Mais il semble qu’il va pleuvoir dans l'après-midi
Sɔ́ wèmá élɔ́ ɖó tɛn tɔn mɛ̀,Remets ce livre à sa place.
xuta,plage
Kútútɔ́ nya mɛ ɖò Hunjava. É ɖɔ̀ émí,"""Jăwè"""
Yĕ ɖò bɔ̆lu xo wɛ̀,Ils jouent au ballon.
măwù ɖó gbɛ̀ dó nukikɛ tɔn wú,dieu a fait le monde par sa parole
koklosi nukɔntɔn ɔ,la première poule
Un wá ɖɔ̀ nù dó wè,Je suis venu te dire un petit bonjour.
a nyì mì ɔ un na lɔ́ wú à cé,si tu me lances ne vais
A ɖò titewungbe à wɛ́ à ?,Est-ce que c’est que tu ne tiens pas droit ?
gbɔ nú mí má gbɔ́jɛ́,laisse
é jὲ kalozíìn,elle a acheté du pétrole
Acu kun do bo ɖu kɔ : Nu e wa e jɛn ɖu bɔ xo han.,Le rat des champs creuse un trou et mange du sable
Nŭ è Dosu ɖò kpínkplɔ́n mì wɛ̀ dó nù lɛ́ bì wú ɔ́ ɖíè,"A ce sujet, voici ce que nous enseigne Dossu."
E bu sin sɔ,Il a disparu depuis hier
ɖŭ glàglá - flé nu,faire le fanfaron
Dotó vìjínúmɛtɔ́ ɔ́ wɛ́ jì vì nú mì,C'est la sage-femme qui m'a accouchée.
alɔ ce bíbɔ́,ma main est fripée suite à une brûlure
Fofó tɔ́n wɛ́ ɖò mɔ wɛ nɛ́,C’est son frère qui parlait ainsi.
E nɔ w'azɔ ɖo dotoxwe,Il travaille à l'hôpital.
E glɔn avi nu eɖee,II retenait ses larmes
xò ɖὲ dŏ... jĭ - xò ɖɛ̀ nú mɛ,bénir quelqu’un
belijik nyɔ hu,je préfère la belgique
nyà nŭ,faire la lessive
E gble taɖu n'i,II l'a guéri de sa folie
agbajá,civière
e ka ɖó xó xá ɛ kaka cobɔ é jì vĭ ɔ ă,il ne la connut pas jusqu'au jour où elle enfanta un fils
Đɔ̀ n’í ó !,Mais dis-lui donc !
e jɔ̀jɔ̀,il est chétif
Zĕ gbe yi dò,Baisse la voix.
é yí fánjí,il est allé dans la savane
é ɖo ɖagbe a - é ɖe,est-ce qu'il se porte bien - oui
É xú jìví mì,Il m’a donné un coup de couteau.
Han towe nyì mă mì,Ton chant a fait allusion à moi.
sɔ́ ɖó avɔ jí,mets-le sur le pagne
E nyi nuɖatɔ ɖagbe ɖe a.,Elle n'est pas très bonne cuisinière 
Lanmɛ wá nú mì,Je suis tombé malade.
E mya ɖi takin ɖɔhun.,Il est rouge comme un piment
Xomɛ gblé è,Il se mit en colère.
Atín ɖokpó gbò ali ɔ́,Il y a un arbre en travers de la route.
E na ce nu mi !,Merci !
a tuwun ɖɔ wamɔnɔ wɛ nyi mi,tu sais que nous sommes pauvres
Bo wa !,Viens donc !
É dó nù wá,Il a inventé une chose.
"Ɛɛn, é kpá mì","Oui, je m'en suis tiré."
E kpl’ɛ́ yi kpó ká kpó go kpó,On l’a emmené avec tout ce qu’il possédait.
Nukun tɔn lɛ sɔ si nɔ xlɛ e ali a,Ses yeux ne savaient plus le guider.
E nyi dotoo kanlin lε tɔn wε bo yi wan nu awii lε,Il est vétérinaire et il adore les chats
wulɛkpa,salle de bain
e vivi nu mi din,j'aime réellement ça
sɔ́ wemá tówé xlɛ́ mì,montre
Nyaɖe nyɛ awon ɖo Ahwlikpɔnuwa nukɔn bo kpɔn gudo. E ɖɔ,"""Nu a na wa jɛ nukɔn ɔ, e wa gbɔn gudo a ɖe nɛ"""
E gú hú gbɔ̆,Il est plus bête qu’un cabri.
Gletanu lε yi abɔkun ɔ sin gbe,Les paysans vont couper le mil
Kεkεvi kpikpεn ɖe lε jan ɖo bɔ sin ali ji,Les lourdes charrettes s’enfoncent dans les chemins boueux .
E sín gojiblánú tɔ̀n,Il a mis sa ceinture.
nukɔngbɛví,l'ainé
Vì ɔ̀ sá gɔ̀n kɔ́ mɛ̀,L’enfant s’est traîné par terre.
Xwè dó,Suivre
Un kpoɖo azɔ ba wε.,Je cherche toujours du travail !
Nabí a nɔ yí ?,Combien prends-tu (argent) ?
Bo ka nɔ fun ahwan zanmε a.,Mais ils ne se battaient pas la nuit
Azɔ̀ wá gbé a xwe à ?,Tu t'en vas au travail ?
daagbo ɖo amlɔ dɔ wɛ ɖo azinkpo tɔn mɛ,grand
E nɔ lε mɔlikun gle ɖo Kutɔnu sin toxo ɔ mε,On cultive le riz dans la région de Cotonou
jĭ wŭ,déconcerté
Kofi nɔ te a ɖo e xwe Kutɔnu.,Kofi n'a pas attendu car il allait à Cotonou 
agŭ,igname pilée
Nɔví cé yi tomɛ̀,Mon frère est parti en voyage.
gbè tɛ́gbe e na ná azàn yĕ,quel jour auront
ɖɔ,racine
E ɖo glo tɔn,II possède l'amulette pour se défendre
E nɔ ylɔ́ ɛ́ ɖɔ̀ Kɔsí,Il s'appelle Kossi.
e jlo na bε ɔ,il voulut la ramasser
xó yɔ̀yɔ́,parole nouvelle
"Eŏ, gbɛtɔ́ wá gbɛ mɛ̀ fí b’á nɔ́ nú tɛgbɛ gbe ă","Non, l’homme n’est pas venu sur terre pour y rester toujours."
"Mɔ̌tò jăwè, jɛ̀ kɛ́n","Une voiture arrive, mets-toi sur le côté (de la route)."
hùn nu jεὲ,ouvrir largement la bouche
nu ji jɔhɔn ɖe ɔ,s'il y a une tempête
Azwi lan ɖe,Il y a de la viande de lapin
e vivi nu pie,pierre est heureux
Mɛ gègé wá,Beaucoup sont venus.
Tɔ ce nɔ xa xojlawema lε,Mon père lit les journaux .
ɖε̆ tέ,avoir de la difficulté d'élocution
ɖu nu mɔlikun elɔ ɖee mɛ nɛ ɖa ɔ,mange ce riz que celui-ci a préparé
nù kpé mì,je suis à bout de force
Kú hwɛ́n wàn dó è,Il était tout près de mourir.
mi hεn ɔ mi na ɖɔ fiɖe na mɔ sunnu lε sin wulεkpa ɖe ɔ a,pouvez
a ɖó hlɔǹhlɔ́n hú mɛ bĭ,tu es plus fort que tous
Mε ma tuun nuɖe a lε !,Les insensés ! 
vi ɖee do aga nu xwe atɔn lε,les enfants au
Azɔmεvi lε ɖo wemaxixa yetɔn bu wε.,Les écoliers couvrent leurs livres
leké - súklétín - yovójɛtín,canne à sucre
ɖŏ bă nú mε,donner des coups de bâton à quelqu’un
Etε ɖɔ nɔ towe ɖe ?,Que dit ta maman ?
măwŭ wɛnsagun wá xo amà nú malía ɖɔ̀ é ná jì mɛhwlɛntɔ́,l'ange de dieu vint annoncer à marie qu'elle enfanterait le sauveur
sín winnyawínnyá cé mɛ̀,depuis ma jeunesse
"Alŏ, e ko wlán dó wù tɔ́n ɖɔ́jí ?",Ou bien est-ce parce que c’est inscrit dans sa nature ?
É gbo jɛ̀ dó húngómɛ̀,Elle porte des perles au mollet.
bòtɔ́ - bòtɔ́nɔ̀,personne dangereuse
tùn cávì,fabriquer une clé
e na slá wù nú wè,on fera pour toi les cérémonies expiatoires
azɔmεvi ɔ ze wema tɔn na do wa azɔ tɔn,l'élève prend son livre pour faire son devoir
Gbɛmɛ nylɔ́ jɔ̀,Le temps est très calme.
mi ni ylɔ,appelons
ta towe nyɔ́ bɔ̀ a mɔ mì gbadanu din,tu as eu de la chance de me voir ce soir
Un gbε wan nu we,Je te déteste
Te voilà bien parti pour être initié !',"Un individu se rendant à l'initiation au Fá fait tomber le devin, bokɔnɔ, son initiateur. Il dit "
un ɖo asinɔvi nyɔnu atɔn,j'ai trois belles-soeurs
yă wù bló glíwún ma dán lɛkanlɛkan ó,fais très vite ne traîne pas
Fítɛ́ wɛ̀ tɔ́ tówé ká yì ?,Où est allé ton père ?
e nɔ do alɔ nu mε ɖe gbeɖe a,il n'aide jamais personne
mi nɔ xwíí,restez tranquilles
bɔ a ɖo na xɔ futike ɔ dandan co bo na byɔ xweɔgbe,et tu dois acheter le ticket obligatoirement avant d'entrer dans la maison
ma hɛn kɛkɛ ɔ gble o,n'abîmes pas le vélo
a w'azɔ kpɛɖe à,as-tu travaillé un peu
akpà,blessure
kanlin lɛ gudo,derrière les bêtes
E nyi cuku ă,Ce n'est pas un chien
lokó kpò,madrier d'iroko
nude a blo lɛ bi sɔ gbe,toutes ces opérations sont justes
é sɔ́ atín ɖò sìn mɛ̀ n'í,il lui avait mis du poison dans son eau
"Ɖo ganzεn kpεvi mε ɔ, un hεn sinsin ɖo sin zozo litli ɖokpo mε.","Dans une casserole, je la fais fondre dans 1 litre d'eau chaude : "
kú wŭ nú mε,peiner
yovo dokɔ elɔ syɛn ɖi hwan ɖohun,ce gâteau est dur comme un caillou
Fí tɛ́ é nɔ́ hwlá nù tɔ́n lɛ́ dó,Où cache-t-il ses choses ?
E wlá kwɛ́,Il s'est rué sur l'argent.
Adɔ hɛn mì,Je suis affamé.
lan ɔ bi,la viande est cuite
hwɛ lo,et toi
Mi ɖo agɔnkε ɖu wε.,Nous mangeons des noix de coco 
Un xɔ jivi ɖokpo,J'ai acheté un couteau
Mawu blo jixwe kpodo ayikungban kpo,Dieu a créé le ciel et la terre.
etɛ́ a hɛ̀n wá nú mí sín kútɔ́nú,que m'as
nɔví e nɛgbé un jɛ ɔ́,ma soeur aînée
Nù é ná zɔ́n bɔ mi na tuwun i,Ce qui vous le fera reconnaître.
mi cɔ́ miɖéé dó dan nɛ́ ɔ́,méfiez
Kézé ɖéɖé w’ɛ́ wá sɔ̀,"C’est hier, en plein jour, qu’il est venu."
Folo lε ɖo ɖiɖe wε,Les feuilles se détachent et s'envolent
un ɖo nu mɔ ɖohun kpɔn a,je n'ai jamais dit une chose pareille
etɛ ye na nu,que vont
"Đo to mĭtɔn mɛ fi ɔ, vidomɛgɔn sin xo ɔ, nuɖe wɛ e nyi","Dans notre pays, c ’est un problème que les enfants frappés."
Mɛ e nɔ ze vi etɔn lɛ jo nu mɛ wɛ bɔ e nɔ hɛn lɛ ɔ…,Les gens qui confient ces enfants à des gens qui les prennent…
é xo gò tɔ́ cè,il a rencontré mon père
blă gbĕ,manigancer
ɖɔ̀ xó dŏ... wŭ,parler sur
Kanɖe gban nukun tεnnε,79
Azɔ̀ élɔ́ ná má wè,Ce travail te deviendra familier.
A nɔ tlán nŭ,Tu exagères.
wa nu ɖagbe,faire une bonne action
hwe ce nu ko sù ă,mon temps n'est pas encore venu
Azinzɔnnɔ ɔ ɖo xɔ tomε.,Le malade est dans la chambre 
nu zunkan lε wu ɔ kanlin lε nɔ nyin kpikpala yi gle mε,dès que l'herbe pousse les bêtes sont menées aux champs
Hwetεnu nu wε hun de jε finε ɔ na sun  ?,Quand est le bus suivant après celui-là ?
énέ ɔ́ gúdó ɔ́ - gŭdò,ensuite
fevi nusunnu ɖie,voici de la sauce de gombo
E sa kɛkɛ́ ce axɔ́,Il m'a vendu mon vélo à crédit.
fɔ́fì - zogo - zotánú,allumette
Zozo ɖo hihun mi wε.,J’ai chaud
Gble azɔn nu mε,Guérir
florian gbɔ sun mε nɔ,florian cesse donc d'être dans la lune
azɔmɛ nɔ hun hɔn ɖo gan tantɔn kpo ceju afɔtɔn,l'école ouvre à huit heures moins le quart
Un na xo we,Je vais te battre.
Fitε azin nukɔntɔn ɔ gosin ?,D'où est venu le premier oeuf ?
etɛ wutu,pourquoi non
Nù énɛ́ ɔ́ jló mì ă,Je n'accepte pas cela.
Mi ɖo kpe zozo kpodo hwevɔ kpo ɖe.,Génial ! Il fait chaud et ensoleillé 
e ko wlan wema se do mi a,il n'a pas encore répondu à ma lettre
A kló,Tu es gros.
a ɖo nyinyi wɛ à,est
nɔví cé yi tomɛ̀,mon frère est parti en voyage
lan a xɔ ɔ́ hwe sìn,l'animal que tu as acheté est trop petit
Đa wewe,Des cheveux blancs
Un nɔ lì zomɔ̀,Je mouds avec un moulin à moteur.
zìnzín - zìnzín akpà,raviver la douleur d'une plaie
Nú ta bɔ we ɔ́,Si tu as de la chance.
e nɔ̀ fí sín zănzàn káká jɛ̀ hwemɛ̀,il est resté ici depuis le matin jusqu'à midi
Sɔ́ hwì tówè d’ákún mɛ̀,Mets ton épée dans le fourreau.
jὲ ahàn,acheter de l'alcool
azwui ɔ ɖo kun wɛ,le lapin creuse un terrier
agoò,place
vi lɛ byɔ yeɖe mɛ e ze hwɛ yetɔn lɛ kɛ ye,les enfants sont repentants on leur pardonne leurs fautes
Nya j'ayi ɖo Gbowɛlɛ sota bɔ tecici glo. - Xwe wɛ un wa nu so.,Un homme était tombé au sommet du mont Gbowele et il ne pouvait se relever. - J'ai fait de la montagne ma maison.
Axi ɖo jije wὲ,Le marché a lieu.
myɔɖέ - zoɖɛ́,flamme
mɔ̀ jɛ́n wɛ̀,c'est justement ainsi
lì aɖŭ - gàn aɖŭ - lì aɖŭ,aiguiser les dents d'une meule de moulin
nùxíxó ɖíè,voici quelqu'un qui mériterait une correction
Un go sin Glexwe,Je viens de Ouidah.
"Un yi wan nu wemaxixa lε, nu un ma tε xa o","J'aime les livres, même si je ne les lis pas."
wamamɔnɔnyínyí - wamɔnɔnyínyí - yamɛ̀,pauvreté
Zan mε tεgbε ɔ,Chaque nuit
e ɖo nǔ ɖu wɛ,il est en train de manger
a na sɛ́ ɛ́ dó tɛn élɔ́ mɛ̀,tu le déplaceras à cet endroit
E ɖo afɔgodwe ze n'ɛ wɛ,Il lui choisit des chaussettes.
hwi wɛ ná xlɛ́ mĭ lée mì ná zán gbɛ mìtɔ́n gbɔn égbé b'á dó nyɔ́ ɖ'así wé é,c'est toi qui nous montreras comment vivre aujourd'hui pour te plaire
É hu mì,Il m’a battu.
Ayìkún ɔ́ gbɛ̀,Les haricots ont poussé.
A fɔn a !,Bonjour
jĭ jà,il a plu
E su ă,Soyez le bienvenu.
nukún gbà zĭn,avoir le vertige
Vi kpεvi ɔ ɖɔ aɖɔ ɖo avɔ tɔn mε.,Bébé a fait pipi dans ses langes.
mɛ ba mi ɖe,qui cherchez-vous
Nyɔnuvi kpɛvi nɔ nɔ gle ɖe ta bo nɔ nyi Boako,Une jeune fille nommée Boako vivait dans un village.
mi nɔ ɖe gbakun mitɔn lε,nous ôtons nos chapeaux
dŏ alɔ̀ nùɖé mὲ - xwè alɔ̀ dŏ - xwè alɔ̀ dŏ,mettre la main dans quelque chose
Hun Sagbo wε,C'est donc Sagbo
wù yá mì,je puis faire quelque chose
é và ami dó awŭ ce wú,il a répandu de l'huile sur mon habit
Kpɔn wewe bo na jo wɛ ɖo bo na ɖɔ hwɛ n’i yi,300 F et ils te laissent partir
"Nu ma ɖi wɛ, e nɔ doxɔ ɖokpo ɔ mɛ xa nɔvi ce","C'est incroyable, c'est le camarade de chambre de mon frère !"
amɔ fitɛ e gbɔn tawun,mais où est
mi nɔ yi azɔxɔ mɛ bo na ɖo kplɔn wema,nous allons en classe pour étudier
etɛ un wa nu mi,qu'est
nu awovi wa jɛ ɔ a na ylɔ zocitɔ lɛ,en cas d'accident tu préviens les pompiers
su ye nu azan tantɔn ɖo gbavi towe mɛ,enferme-les pendant huit jours dans ta malle
Un ná ɖɔ̀ xótá ɔ́,Je vais dire l’essentiel.
Tɔ mitɔn sin ahɔn mε sun wε a ?,Votre père est-il chauve ? 
Awovi wɛ xo e,Il a eu un accident
Xwlεkpatɔ ɔ ɖo xwlε lε kpa wε.,Le menuisier rabote les planches 
nɛ ye nɔ ylɔ gbɔn ɖo fɔngbe mɛ,comment dit
xò lɔ̀,commettre un acte contre nature
un na do e te a a ɖo a ɖo na hwlɛn do,je ne vais pas te retenir puisque tu es pressé
sú alì,mettre la barrière de pluie
É ɖè é tɔ́n,Il l’a mis à la porte.
mi vɛ́ nɔ flín mì ayanuɖé,souvenez
Xove sin mi,J'ai faim.
Gan wewe xo ɖo gletoxo mɛ,Midi sonne au clocher du village.
Kofi se nuɖe ǎ,Kofi n'a rien entendu
hwὲ - xwì - xwixwí,ligne
é kpò cɛ́jú afɔ́tɔ̀n nú gan tɛ́nwè,il est sept heures moins le quart
kpodé - kpodwé - vĭ kpodé,le benjamin
Un ɖo tɛ jɛ wɛ bo na do zɛ atin ɖo kɔxo,Je descends pour casser du bois dans la cour.
Ku d'ayijinjɔn,Salut pour le fait d'être assis
Gàn nabí mɛ̀ a na wá ?,A quelle heure viendras-tu ?
Kanlin lε sin gan ɔ lin tamε bo ɖɔ.,Le grand génie réfléchit et dit
Koklo ɖe,Il y a du poulet
a na nɔ̀ pɔ́lu tɛn mɛ̀,tu prendras la place de paul
jò é dó,lâche
un si jo e do a,je ne pourrais pas le quitter
Mi ɖo adingban ɖɔ wɛ,Vous racontez un mensonge.
gege,assez
mi mε we lε bi we do gbojε sin hu do,vous avez tous les deux besoin d'un repos
Lɛ̀ vɔ̀ xó nɛ́ ɔ́ ɖɔ́ nú mì,Redis-moi ce mot là.
"Nya elɔ ɔ, gbɛdonɔ ɖaxo wɛ",Cet homme est un grand malheureux
E nɔ́ kɛ́ awè,Il aime poser.
Mɛ sin hwenu wɛ ?,C’est à qui le tour ?
"Ato wiwi ɔ wa ɖɔ atinsinsεn ɖaxo ɖe wa xo e ɖo wezun tɔn mε gbɔn xo susu xεvi lε tɔn mε ɔ, sin xo.",Le singe blanc parla d'un gros fruit sauvage qu'il avait bousculé dans sa fuite devant les cris répétés de certains oiseaux affolés 
e nɔ́ jɛ̀ hwɛhwɛ̀,c'est fréquent
A na vlɔ́ kpɛn ɔ ɖó ɛnɛ́,Tu diviseras la papaye en quatre parties.
kplɔ́n nŭ,instruire
amɔ fitε é ka gbɔn tahun,mais où est
mi ɖò kpɔ́ à,etes
"Mɛɖé wà nŭnyanya dó wè hŭn, ma bà hlɔn tɔn ó","Si quelqu’un te fait du mal, ne lui tiens pas tête."
awu ce hlɛ́n,mon habit est encore humide
vɔ̀nú - yàyá,gratuit
yĕ dlɛ̆,eux autres
Nusatɔ ɔ ɖo yovozεn lε da kpɔn wε,Le marchand pèse les oranges .
Zokán sísɛ́ ɖè sɔ́ kpó ɖò adoglwe ce mɛ̀ ă,Il n'a plus de braise ardente dans mon foyer.
nu mi nɔ ɖɔ glεnsigbe ɔ mi hεn ɔ mi na yi bi ɖo gbe ɔ mε,si vous parlez anglais vous pouvez voyager n'importe où dans le monde
Đɔ̀ n'í bó ní wá d'álɔ mì,Dis-lui donc qu'ils viennent m'aider.
mì nà lílɛ́ azɔ̀ élɔ́ ɖó tɛnígbè,nous allons remettre ce travail à lundi
É sɔ́ ɛ́ húzú yɛhwenɔ̀,On l’a ordonné prêtre.
e dó kan kɔ bó kú,il s'est pendu
Nɔ̀ tè !,Halte !
"Nyε ɔ, un ɖo azɔ wa wε sin tεgbε bo un ma te ko fo.","Moi, je travaille depuis des heures et je n'ai pas encore fini : "
nùhwéɖɔ́tɔ́ - nuyatɔ́ - xóɖɔ́tɔ́,bavard
ɛɛn nu a ɖo kwɛ ɔ a na ɖo mɛ,oui si tu as l'argent tu vas avoir des gens
zanmɛ ɔ ye nɔ yi ze lan ɖo fiɖe bo nɔ yi gbade fɛnnyɛ kokwe ɖo fi ɔ,la nuit ils vont mettre de la viande dans un endroit et prennent du maïs du manioc des bananes en cet endroit
alò,cure
Hwevitɔ wε nyi tɔ enε ɔ lε,Ces rivières sont poissonneuses.
éé nɔ wɛ̀,c'est à lui
e ɖò mɔ̀ có,c'est ainsi
sín hwenέnú ɔ́,depuis lors
Yè klán,Ils sont désunis.
e dɔ́ xwé cé gbè,il a dormi dans ma maison
E na mi alɔ,Il me donne la main.
acɛ ɖokpo ɔ wɛ mɛ bi na ɖo lo bo na nɔ nyi sɛn ɖokpo ɔ,tous sont égaux devant la loi et ont droit sans distinction à une égale protection de la loi
xó tówé ɖɔ́ wɛ̀ mì ɖé kɛ́ɖɛ́,nous parlions justement de toi
ye nɔ yi ze lan ɖo fiɖe,ils mettent de la viande dans un endroit
Mi nù mà xa yɛxwe ɖo xwe tɔn gbe,Que nous prions à la maison.
xwé élɔ́ kpò dòglín kɛ́ɖɛ́,cette maison n'a plus que des murs en ruine
Nu nɔ kú í ă,Il n'arrête pas de parler.
ye yi agɔnkɛ j'ayi lɛ bɛ gbe,ils vont ramasser les cocos tombés
Mi má tuùn fí è a xwè ɔ́ nɛ́,Nous ne savons pas où tu vas.
e bɔ̀ wú nú mì ă,cela ne m'a pas été facile
mi yí gbè bó,acceptez
Afɔ ku mi.,J'ai les pieds fatigués
é ɖù galí,elle est enceinte familier
akpá tɛ́ xwé to towe ka ɖè,de quel côté se trouve ton village
"Mi nɔ jlo na ɖe nukun sin ye wu, ye ka ɖo finε tεgbε","La société veut les ignorer, mais ils sont bel et bien là ."
Nù nɛ́ ɔ́ jí wù dó mɛ,Cela est impressionnant.
"Nyε ɔ, un kpo ɖo azɔ ba wε.","Moi, je cherche toujours du travail ! : "
Zanzan nuɖuɖu gudo ɔ,Après déjeûner
é bɔ̀ wú ă,cela n'a pas été facile
Un ɖo wemaxiixa yɔyɔ ce lε hun kpɔn wε kpodo xomε hunhun kpo.,Je feuillette mes nouveaux livres de classe avec plaisir 
Mi nɔ ɖu nu kpodo azinzɔnnɔ kpo.,On mange avec le malade
Kanɖe wεnε,54
e ɖe,il y est
yĕ jɛ̀ nù'dɔ̀n jí,ils commencèrent à se disputer
jigán slɛ́ mì,j'ai attrapé une chique
xɔ́ntɔn linsinmɛ tɔ̀n,ami du défunt venant en seconde position
xwe ɔ hwán gbadé,la grande saison des pluies a été bonne pour le maïs
jὲ hɔ̀n jĭ,tomber sur une porte fermée
tὲ kàn - tὲ kàn sέ dŏ mε,téléphoner
Zănzăn futufutù,De bon matin.
Etɛ nu wɛ Kofi ɖe ?,Qu'est-ce que Kofi est en train de boire ?
Kɛ́cɛ́wún kɛ́cɛ́wún,Clopin-clopant
wunhinhɔ́n - wunhunhɔ́n,impudence
"Gle lε ɖe tɔ gba lε ɔ, nukun lε na gble.","Dans les champs inondés, la récolte sera mauvaise : "
E ɖó getɛ́ cáywé,Il a des jambes maigrichonnes.
atakín,piment
Un yì jogbĕ,J’ai répondu à une invitation.
e fɔ́tɔ́ galí kpódó azìn kpó,il a pétri du gari avec des oeufs
E nɔ wa zanzɔn,Il travaille de nuit.
Xwɛ se à !,"Calme-toi, je t'en prie !"
nukanbyɔ ɖe wε bo vε wu nu mi tawun,c'est une question trop compliquée pour moi
ze nyɛvi ɖokpo nu mi,donne
Jì wɔ́,Il commence à pleuvoir.
lanmɛ tɔn ɖò syɛ́nsyɛ́n wɛ́ à,est
E ka lε nu ahan ă,Et même pas d'alcool
gan tantɔn mε,à huit heures
đà nù nú mì,fais
e dá măwú sɛ́n jí,il a désobéi à la loi de dieu
kɔkɔkɔ,toc-toc
dɔkún tɔn ɖo tɔ sa wɛ̀,sa richesse coule à flots
Mi nɔ ɖo fεnnyε ja wε.,On râpait le manioc
É ná mì wɔ̌ cɛ́nwúncɛ́nwún ɖé,Il m’a donné une très petite quantité de pâte.
awuvúnvún,guenille
un ɖo ahan nu wε ɖo kofo mε,je bois dans un verre
Hεnnumɔ tɔn do xo hu ce.,Sa famille est plus ancienne que la mienne 
ɖŏ alɔ̀ tè - fó,finir de
Nyɛ ɔ́ un nɔ xwlé Tɔkpá’xí,"Moi, je fais mon marché à Tokpa."
wìín mɛ́ mì,une abeille m'a piqué
un dɛ̆ɛ̀n,je l'ignore
Amerika sin ganhwεndoto lε ze gbe ta ɖɔ mi na gɔ adan nutitɔ na do su kun do nu mεhuhu do to ɔ mε.,Le gouvernement américain a décidé d'amplifier sa lutte contre le terrorisme 
Azɔkwɛ kpɛvi elɔ,Ce maigre salaire.
se ɖɔ  wa,a appris que  est arrivé
Mi yi yewunkonnyεɖowutεn a,Nous ne sommes pas allés au cinéma .
Mi hɛn ɔ mi na do alɔ nu mi a ?,Pouvez-vous m’aider ?
un ɖò kɛ́n ɖokpó,ca va comme ci comme ça
azɔmɛvi ɔ ɖo nukplɔn wɛ,l'écolier révise ses leçons
Un ɖo sinsɛn we wɛ,Je suis en train de t’adorer.
Co bɔ na si ɖɔ fongbe kaka,Avant que je parle fon.
Byɔ̌ xɔ́ntɔ̀n mɛ,Demander l’amitié à une fille
É kpɛn,C’est lourd.
un lin ɖɔ gbedutɛn lɛ nɔ vɛ axi,j'ai pensé que les hôtels étaient très chers
Un ɖo ye ba wɛ,Je les cherche.
afɔ̀ vɛ̌ mì,je n'ai pas de chance
Gbɛmɛ cí kpitiì,Le temps est sombre.
mama ɖo ayoma nusunnu ɖa wε,maman prépare une soupe aux oignons
Klazin gba kɔn nyi kɔ mɛ,Le pétrole s'est répandu par terre
Ye ɖo na ba tu na bo na jɛ ye wli ji.,Ils doivent être recherchés avec des fusils pour commencer à être incarcérés.
sú hwὲ xɔ́ - sú hwὲ'xɔ́,faire pénitence
cuku ɖokpo ɖokpo ɖo kɔnu tɔn,chaque chien a un collier
egbe wɛ nyi hunjlo,aujourd'hui c'est le jour de marché hunjlo
Un blo ɖo azɔmε,J’en avais fait à l’école
Un ɖo nu ɖu wε ɖo gannu mε.,Je mange dans une assiette 
adogannú kpέtέ,tesson de pot mince et recourbé qu'on emploie pour caler la marmite sur le foyer
atoké,chauve
hwenu fifa,un temps glacial
Un na ɖu wɔ,Je vais manger des pâtes
un ɖo ganmɛ vivo kpɛɖe bo na ɖo nɔ azan yɔywɛ ɖe xa we,j'ai trop peu de temps libre pour passer quelques jours avec toi
nɔ ce sin xɔntɔn,un ami à ma mère
xɔ ɔ́ jì kɔn afín,la maison a été réduite en cendres
"Eo, dotoo wε mi nyi","Non, nous sommes médecins"
"E mɔ logozo e, e tuwun ɖɔ xu tɔn gban. ","Si l'on voit la tortue, on sait que ses os sont courbes."
É lɛ́ kɔ nú agban ce sɛ́ dó mì,Il m’a retourné mon cadeau.
E nɔ w'azɔ gege.,Elle travaille beaucoup 
mitɔ́ mímέ - mìtɔ́ mímέ pápà,notre saint père le pape
